SAVED BY: 
TITLE: 
COMMENTS: 
DATE: 3/13/2015
TIME: 12:04 PM

STIMULUS, RESPONSE
 8.946900E+9,   4.581E-1
 8.947000E+9,   4.586E-1
 8.947100E+9,   4.565E-1
 8.947200E+9,   4.565E-1
 8.947300E+9,   4.581E-1
 8.947400E+9,   4.581E-1
 8.947500E+9,   4.581E-1
 8.947600E+9,   4.581E-1
 8.947700E+9,   4.571E-1
 8.947800E+9,   4.560E-1
 8.947900E+9,   4.571E-1
 8.948000E+9,   4.555E-1
 8.948100E+9,   4.576E-1
 8.948200E+9,   4.545E-1
 8.948300E+9,   4.560E-1
 8.948400E+9,   4.550E-1
 8.948500E+9,   4.571E-1
 8.948600E+9,   4.555E-1
 8.948700E+9,   4.560E-1
 8.948800E+9,   4.565E-1
 8.948900E+9,   4.555E-1
 8.949000E+9,   4.540E-1
 8.949100E+9,   4.540E-1
 8.949200E+9,   4.545E-1
 8.949300E+9,   4.540E-1
 8.949400E+9,   4.550E-1
 8.949500E+9,   4.534E-1
 8.949600E+9,   4.534E-1
 8.949700E+9,   4.493E-1
 8.949800E+9,   4.534E-1
 8.949900E+9,   4.524E-1
 8.950000E+9,   4.529E-1
 8.950100E+9,   4.519E-1
 8.950200E+9,   4.514E-1
 8.950300E+9,   4.519E-1
 8.950400E+9,   4.503E-1
 8.950500E+9,   4.503E-1
 8.950600E+9,   4.467E-1
 8.950700E+9,   4.508E-1
 8.950800E+9,   4.503E-1
 8.950900E+9,   4.503E-1
 8.951000E+9,   4.503E-1
 8.951100E+9,   4.493E-1
 8.951200E+9,   4.493E-1
 8.951300E+9,   4.488E-1
 8.951400E+9,   4.488E-1
 8.951500E+9,   4.488E-1
 8.951600E+9,   4.477E-1
 8.951700E+9,   4.472E-1
 8.951800E+9,   4.472E-1
 8.951900E+9,   4.446E-1
 8.952000E+9,   4.477E-1
 8.952100E+9,   4.467E-1
 8.952200E+9,   4.436E-1
 8.952300E+9,   4.457E-1
 8.952400E+9,   4.441E-1
 8.952500E+9,   4.451E-1
 8.952600E+9,   4.441E-1
 8.952700E+9,   4.441E-1
 8.952800E+9,   4.425E-1
 8.952900E+9,   4.436E-1
 8.953000E+9,   4.420E-1
 8.953100E+9,   4.425E-1
 8.953200E+9,   4.420E-1
 8.953300E+9,   4.405E-1
 8.953400E+9,   4.399E-1
 8.953500E+9,   4.394E-1
 8.953600E+9,   4.337E-1
 8.953700E+9,   4.394E-1
 8.953800E+9,   4.394E-1
 8.953900E+9,   4.373E-1
 8.954000E+9,   4.379E-1
 8.954100E+9,   4.358E-1
 8.954200E+9,   4.363E-1
 8.954300E+9,   4.363E-1
 8.954400E+9,   4.342E-1
 8.954500E+9,   4.363E-1
 8.954600E+9,   4.342E-1
 8.954700E+9,   4.348E-1
 8.954800E+9,   4.337E-1
 8.954900E+9,   4.316E-1
 8.955000E+9,   4.316E-1
 8.955100E+9,   4.327E-1
 8.955200E+9,   4.306E-1
 8.955300E+9,   4.296E-1
 8.955400E+9,   4.290E-1
 8.955500E+9,   4.285E-1
 8.955600E+9,   4.285E-1
 8.955700E+9,   4.270E-1
 8.955800E+9,   4.254E-1
 8.955900E+9,   4.265E-1
 8.956000E+9,   4.254E-1
 8.956100E+9,   4.233E-1
 8.956200E+9,   4.228E-1
 8.956300E+9,   4.228E-1
 8.956400E+9,   4.207E-1
 8.956500E+9,   4.218E-1
 8.956600E+9,   4.192E-1
 8.956700E+9,   4.192E-1
 8.956800E+9,   4.182E-1
 8.956900E+9,   4.171E-1
 8.957000E+9,   4.166E-1
 8.957100E+9,   4.156E-1
 8.957200E+9,   4.140E-1
 8.957300E+9,   4.135E-1
 8.957400E+9,   4.130E-1
 8.957500E+9,   4.114E-1
 8.957600E+9,   4.109E-1
 8.957700E+9,   4.093E-1
 8.957800E+9,   4.093E-1
 8.957900E+9,   4.083E-1
 8.958000E+9,   4.062E-1
 8.958100E+9,   4.052E-1
 8.958200E+9,   4.041E-1
 8.958300E+9,   4.031E-1
 8.958400E+9,   4.021E-1
 8.958500E+9,   4.005E-1
 8.958600E+9,   4.000E-1
 8.958700E+9,   3.979E-1
 8.958800E+9,   3.969E-1
 8.958900E+9,   3.958E-1
 8.959000E+9,   3.943E-1
 8.959100E+9,   3.922E-1
 8.959200E+9,   3.912E-1
 8.959300E+9,   3.901E-1
 8.959400E+9,   3.881E-1
 8.959500E+9,   3.881E-1
 8.959600E+9,   3.860E-1
 8.959700E+9,   3.850E-1
 8.959800E+9,   3.829E-1
 8.959900E+9,   3.803E-1
 8.960000E+9,   3.803E-1
 8.960100E+9,   3.777E-1
 8.960200E+9,   3.756E-1
 8.960300E+9,   3.741E-1
 8.960400E+9,   3.720E-1
 8.960500E+9,   3.715E-1
 8.960600E+9,   3.694E-1
 8.960700E+9,   3.678E-1
 8.960800E+9,   3.652E-1
 8.960900E+9,   3.575E-1
 8.961000E+9,   3.621E-1
 8.961100E+9,   3.606E-1
 8.961200E+9,   3.580E-1
 8.961300E+9,   3.564E-1
 8.961400E+9,   3.543E-1
 8.961500E+9,   3.481E-1
 8.961600E+9,   3.502E-1
 8.961700E+9,   3.471E-1
 8.961800E+9,   3.450E-1
 8.961900E+9,   3.445E-1
 8.962000E+9,   3.424E-1
 8.962100E+9,   3.388E-1
 8.962200E+9,   3.362E-1
 8.962300E+9,   3.341E-1
 8.962400E+9,   3.310E-1
 8.962500E+9,   3.294E-1
 8.962600E+9,   3.258E-1
 8.962700E+9,   3.248E-1
 8.962800E+9,   3.211E-1
 8.962900E+9,   3.196E-1
 8.963000E+9,   3.165E-1
 8.963100E+9,   3.144E-1
 8.963200E+9,   3.118E-1
 8.963300E+9,   3.087E-1
 8.963400E+9,   3.061E-1
 8.963500E+9,   3.030E-1
 8.963600E+9,   2.999E-1
 8.963700E+9,   2.978E-1
 8.963800E+9,   2.957E-1
 8.963900E+9,   2.853E-1
 8.964000E+9,   2.895E-1
 8.964100E+9,   2.864E-1
 8.964200E+9,   2.843E-1
 8.964300E+9,   2.812E-1
 8.964400E+9,   2.770E-1
 8.964500E+9,   2.744E-1
 8.964600E+9,   2.719E-1
 8.964700E+9,   2.687E-1
 8.964800E+9,   2.641E-1
 8.964900E+9,   2.630E-1
 8.965000E+9,   2.594E-1
 8.965100E+9,   2.568E-1
 8.965200E+9,   2.537E-1
 8.965300E+9,   2.511E-1
 8.965400E+9,   2.464E-1
 8.965500E+9,   2.433E-1
 8.965600E+9,   2.407E-1
 8.965700E+9,   2.392E-1
 8.965800E+9,   2.355E-1
 8.965900E+9,   2.314E-1
 8.966000E+9,   2.293E-1
 8.966100E+9,   2.262E-1
 8.966200E+9,   2.231E-1
 8.966300E+9,   2.215E-1
 8.966400E+9,   2.184E-1
 8.966500E+9,   2.158E-1
 8.966600E+9,   2.143E-1
 8.966700E+9,   2.101E-1
 8.966800E+9,   2.054E-1
 8.966900E+9,   2.054E-1
 8.967000E+9,   2.029E-1
 8.967100E+9,   2.013E-1
 8.967200E+9,   1.997E-1
 8.967300E+9,   1.977E-1
 8.967400E+9,   1.951E-1
 8.967500E+9,   1.946E-1
 8.967600E+9,   1.920E-1
 8.967700E+9,   1.909E-1
 8.967800E+9,   1.894E-1
 8.967900E+9,   1.888E-1
 8.968000E+9,   1.883E-1
 8.968100E+9,   1.868E-1
 8.968200E+9,   1.878E-1
 8.968300E+9,   1.868E-1
 8.968400E+9,   1.862E-1
 8.968500E+9,   1.862E-1
 8.968600E+9,   1.862E-1
 8.968700E+9,   1.862E-1
 8.968800E+9,   1.873E-1
 8.968900E+9,   1.873E-1
 8.969000E+9,   1.888E-1
 8.969100E+9,   1.899E-1
 8.969200E+9,   1.899E-1
 8.969300E+9,   1.925E-1
 8.969400E+9,   1.946E-1
 8.969500E+9,   1.935E-1
 8.969600E+9,   1.971E-1
 8.969700E+9,   1.987E-1
 8.969800E+9,   1.997E-1
 8.969900E+9,   2.018E-1
 8.970000E+9,   2.044E-1
 8.970100E+9,   2.054E-1
 8.970200E+9,   2.096E-1
 8.970300E+9,   2.127E-1
 8.970400E+9,   2.148E-1
 8.970500E+9,   2.143E-1
 8.970600E+9,   2.184E-1
 8.970700E+9,   2.215E-1
 8.970800E+9,   2.262E-1
 8.970900E+9,   2.257E-1
 8.971000E+9,   2.293E-1
 8.971100E+9,   2.319E-1
 8.971200E+9,   2.355E-1
 8.971300E+9,   2.386E-1
 8.971400E+9,   2.412E-1
 8.971500E+9,   2.433E-1
 8.971600E+9,   2.480E-1
 8.971700E+9,   2.490E-1
 8.971800E+9,   2.553E-1
 8.971900E+9,   2.568E-1
 8.972000E+9,   2.594E-1
 8.972100E+9,   2.636E-1
 8.972200E+9,   2.625E-1
 8.972300E+9,   2.672E-1
 8.972400E+9,   2.708E-1
 8.972500E+9,   2.750E-1
 8.972600E+9,   2.786E-1
 8.972700E+9,   2.786E-1
 8.972800E+9,   2.838E-1
 8.972900E+9,   2.843E-1
 8.973000E+9,   2.910E-1
 8.973100E+9,   2.900E-1
 8.973200E+9,   2.947E-1
 8.973300E+9,   2.962E-1
 8.973400E+9,   3.014E-1
 8.973500E+9,   2.993E-1
 8.973600E+9,   3.066E-1
 8.973700E+9,   3.045E-1
 8.973800E+9,   3.097E-1
 8.973900E+9,   3.113E-1
 8.974000E+9,   3.139E-1
 8.974100E+9,   3.196E-1
 8.974200E+9,   3.206E-1
 8.974300E+9,   3.175E-1
 8.974400E+9,   3.263E-1
 8.974500E+9,   3.284E-1
 8.974600E+9,   3.310E-1
 8.974700E+9,   3.326E-1
 8.974800E+9,   3.351E-1
 8.974900E+9,   3.372E-1
 8.975000E+9,   3.409E-1
 8.975100E+9,   3.409E-1
 8.975200E+9,   3.434E-1
 8.975300E+9,   3.434E-1
 8.975400E+9,   3.455E-1
 8.975500E+9,   3.476E-1
 8.975600E+9,   3.523E-1
 8.975700E+9,   3.523E-1
 8.975800E+9,   3.549E-1
 8.975900E+9,   3.569E-1
 8.976000E+9,   3.590E-1
 8.976100E+9,   3.616E-1
 8.976200E+9,   3.616E-1
 8.976300E+9,   3.647E-1
 8.976400E+9,   3.658E-1
 8.976500E+9,   3.673E-1
 8.976600E+9,   3.642E-1
 8.976700E+9,   3.699E-1
 8.976800E+9,   3.725E-1
 8.976900E+9,   3.746E-1
 8.977000E+9,   3.751E-1
 8.977100E+9,   3.761E-1
 8.977200E+9,   3.761E-1
 8.977300E+9,   3.782E-1
 8.977400E+9,   3.813E-1
 8.977500E+9,   3.824E-1
 8.977600E+9,   3.844E-1
 8.977700E+9,   3.829E-1
 8.977800E+9,   3.860E-1
 8.977900E+9,   3.850E-1
 8.978000E+9,   3.881E-1
 8.978100E+9,   3.891E-1
 8.978200E+9,   3.917E-1
 8.978300E+9,   3.933E-1
 8.978400E+9,   3.917E-1
 8.978500E+9,   3.943E-1
 8.978600E+9,   3.948E-1
 8.978700E+9,   3.969E-1
 8.978800E+9,   3.974E-1
 8.978900E+9,   3.995E-1
 8.979000E+9,   3.995E-1
 8.979100E+9,   4.010E-1
 8.979200E+9,   3.958E-1
 8.979300E+9,   4.016E-1
 8.979400E+9,   4.031E-1
 8.979500E+9,   4.026E-1
 8.979600E+9,   4.062E-1
 8.979700E+9,   4.057E-1
 8.979800E+9,   4.062E-1
 8.979900E+9,   4.083E-1
 8.980000E+9,   4.083E-1
 8.980100E+9,   4.073E-1
 8.980200E+9,   4.093E-1
 8.980300E+9,   4.099E-1
 8.980400E+9,   4.119E-1
 8.980500E+9,   4.119E-1
 8.980600E+9,   4.114E-1
 8.980700E+9,   4.135E-1
 8.980800E+9,   4.130E-1
 8.980900E+9,   4.145E-1
 8.981000E+9,   4.140E-1
 8.981100E+9,   4.150E-1
 8.981200E+9,   4.182E-1
 8.981300E+9,   4.171E-1
 8.981400E+9,   4.192E-1
 8.981500E+9,   4.182E-1
 8.981600E+9,   4.207E-1
 8.981700E+9,   4.192E-1
 8.981800E+9,   4.202E-1
 8.981900E+9,   4.213E-1
 8.982000E+9,   4.202E-1
 8.982100E+9,   4.213E-1
 8.982200E+9,   4.239E-1
 8.982300E+9,   4.218E-1
 8.982400E+9,   4.239E-1
 8.982500E+9,   4.254E-1
 8.982600E+9,   4.249E-1
 8.982700E+9,   4.259E-1
 8.982800E+9,   4.239E-1
 8.982900E+9,   4.259E-1
 8.983000E+9,   4.249E-1
 8.983100E+9,   4.270E-1
 8.983200E+9,   4.285E-1
 8.983300E+9,   4.285E-1
 8.983400E+9,   4.270E-1
 8.983500E+9,   4.265E-1
 8.983600E+9,   4.280E-1
 8.983700E+9,   4.285E-1
 8.983800E+9,   4.290E-1
 8.983900E+9,   4.301E-1
 8.984000E+9,   4.296E-1
 8.984100E+9,   4.306E-1
 8.984200E+9,   4.322E-1
 8.984300E+9,   4.306E-1
 8.984400E+9,   4.316E-1
